City,Day,Hour,AQI,Temp
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
Pune,16,13,53,28
